# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:04:47 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load
2024-07-01 00:00:00 PDT,+0.147368,+0,+0,+0.14,+70,OFF,+0
2024-07-01 00:15:00 PDT,+0.147368,+0,+0,+0.14,+70,OFF,+0
2024-07-01 00:30:00 PDT,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-07-01 00:45:00 PDT,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-07-01 01:00:00 PDT,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-07-01 01:15:00 PDT,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-07-01 01:30:00 PDT,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-07-01 01:45:00 PDT,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-07-01 02:00:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 02:15:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 02:30:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 02:45:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 03:00:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 03:15:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 03:30:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 03:45:00 PDT,+0.224134,+0,+0,+0.115,+70,HEAT,+0.105923
2024-07-01 04:00:00 PDT,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923
2024-07-01 04:15:00 PDT,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923
2024-07-01 04:30:00 PDT,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923
2024-07-01 04:45:00 PDT,+0.22934,+0,+0,+0.12,+70,HEAT,+0.105923
2024-07-01 05:00:00 PDT,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 05:15:00 PDT,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 05:30:00 PDT,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 05:45:00 PDT,+0.36456,+0.1,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 06:00:00 PDT,+2.63265,+2.2,+0,+0.225,+70,HEAT,+0.105923
2024-07-01 06:15:00 PDT,+0.443187,+0.1,+0,+0.225,+70,HEAT,+0.105923
2024-07-01 06:30:00 PDT,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-07-01 06:45:00 PDT,+2.63265,+2.2,+0,+0.225,+70,HEAT,+0.105923
2024-07-01 07:00:00 PDT,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-07-01 07:15:00 PDT,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-07-01 07:30:00 PDT,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-07-01 07:45:00 PDT,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-07-01 08:00:00 PDT,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 08:15:00 PDT,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-07-01 08:30:00 PDT,+0.157895,+0,+0,+0.15,+70,OFF,+0
2024-07-01 08:45:00 PDT,+0.157895,+0,+0,+0.15,+70,OFF,+0
2024-07-01 09:00:00 PDT,+0.115789,+0,+0,+0.11,+70,OFF,+0
2024-07-01 09:15:00 PDT,+0.115789,+0,+0,+0.11,+70,OFF,+0
2024-07-01 09:30:00 PDT,+0.219592,+0,+0,+0.11,+70,COOL,+0.106595
2024-07-01 09:45:00 PDT,+0.219592,+0,+0,+0.11,+70,COOL,+0.106595
2024-07-01 10:00:00 PDT,+0.198819,+0,+0,+0.09,+70,COOL,+0.106606
2024-07-01 10:15:00 PDT,+0.198819,+0,+0,+0.09,+70,COOL,+0.106606
2024-07-01 10:30:00 PDT,+0.198819,+0,+0,+0.09,+70,COOL,+0.106606
2024-07-01 10:45:00 PDT,+0.198819,+0,+0,+0.09,+70,COOL,+0.106606
2024-07-01 11:00:00 PDT,+0.198829,+0,+0,+0.09,+70,COOL,+0.106616
2024-07-01 11:15:00 PDT,+0.198829,+0,+0,+0.09,+70,COOL,+0.106616
2024-07-01 11:30:00 PDT,+0.198829,+0,+0,+0.09,+70,COOL,+0.106616
2024-07-01 11:45:00 PDT,+0.198829,+0,+0,+0.09,+70,COOL,+0.106616
2024-07-01 12:00:00 PDT,+0.198839,+0,+0,+0.09,+70,COOL,+0.106626
2024-07-01 12:15:00 PDT,+0.198839,+0,+0,+0.09,+70,COOL,+0.106626
2024-07-01 12:30:00 PDT,+0.198839,+0,+0,+0.09,+70,COOL,+0.106626
2024-07-01 12:45:00 PDT,+0.198839,+0,+0,+0.09,+70,COOL,+0.106626
2024-07-01 13:00:00 PDT,+0.198843,+0,+0,+0.09,+70,COOL,+0.10663
2024-07-01 13:15:00 PDT,+0.198843,+0,+0,+0.09,+70,COOL,+0.10663
2024-07-01 13:30:00 PDT,+0.198843,+0,+0,+0.09,+70,COOL,+0.10663
2024-07-01 13:45:00 PDT,+0.198843,+0,+0,+0.09,+70,COOL,+0.10663
